Panel,Logical_Rack_Cd,Slot_Cd,Rack_And_Slot,IO_Card_Type_Cd,Rack_Status,EPlan_Card_Typical,Card_Drawing_Number,Terminal_Block,Card_Drawing_Revision_ID,Revision_Order,Revision_Cd,Revision_Desc,Revision_Dt,Drafter_Initials,Engineer_Initials,Is_Hidden,Card_Drawing_File,Point_Cnt,Card_Typical,IO_Card_ID,IO_Slot_ID,IO_Rack_ID,Revision_ID,Site_ID,Username
PLC01: STANDARD PANEL 2 DAY 1 EXERCISE,R01A,04,R01A:04,1756-IF16,,"PN:=""1756-IF16"";CW:=""AI-C-LP"";TS:=""Fj;L&G2|PXC|24V""",405,TB1C,7E857BD5-7F0B-F111-A096-005056BE0E49,2,A,IN OFFICE ISSUE,2/16/2026 0:00,AAA,BBB,0,,16,AB-56-IF16-F-IC-MTG-SEC-X,B127DC43-213B-494C-86BE-019C4ED2FA24,2ED5970D-2EAE-41BD-8824-019C4ED1CF1C,3E06229C-4537-420C-B2FA-019C4ED1CEC3,5088DE78-5449-4330-931F-019C4ECD64DA,55499001-0A74-4983-9858-019C4ECD64D5,
PLC01: STANDARD PANEL 2 DAY 1 EXERCISE,R01A,05,R01A:05,1756-N2,,"PN:=""1756-N2"";CW:=""BLANK""",406,,3BE4EE46-800B-F111-A096-005056BE0E49,1,B,IN OFFICE ISSUE SECOND,2/18/2026 0:00,DDD,EEE,0,,,AB-56-N2-X-X-X-X-11X17,DA8A80DF-5144-45C0-B341-019C4ED31AA7,B2C2BB42-A6BB-4CC4-A515-019C4ED1CF1C,3E06229C-4537-420C-B2FA-019C4ED1CEC3,5088DE78-5449-4330-931F-019C4ECD64DA,55499001-0A74-4983-9858-019C4ECD64D5,
PLC01: STANDARD PANEL 2 DAY 1 EXERCISE,R01A,05,R01A:05,1756-N2,,"PN:=""1756-N2"";CW:=""BLANK""",406,,7F857BD5-7F0B-F111-A096-005056BE0E49,2,A,IN OFFICE ISSUE,2/16/2026 0:00,AAA,BBB,0,,,AB-56-N2-X-X-X-X-11X17,DA8A80DF-5144-45C0-B341-019C4ED31AA7,B2C2BB42-A6BB-4CC4-A515-019C4ED1CF1C,3E06229C-4537-420C-B2FA-019C4ED1CEC3,5088DE78-5449-4330-931F-019C4ECD64DA,55499001-0A74-4983-9858-019C4ECD64D5,
PLC01: STANDARD PANEL 2 DAY 1 EXERCISE,R01A,06,R01A:06,1756-N2,,"PN:=""1756-N2"";CW:=""BLANK""",407,,3CE4EE46-800B-F111-A096-005056BE0E49,1,B,IN OFFICE ISSUE SECOND,2/18/2026 0:00,DDD,EEE,0,,,AB-56-N2-X-X-X-X-11X17,3EC42E08-85BB-4D52-BA38-019C4ED33836,C9280136-4514-4F89-9297-019C4ED1CF1C,3E06229C-4537-420C-B2FA-019C4ED1CEC3,5088DE78-5449-4330-931F-019C4ECD64DA,55499001-0A74-4983-9858-019C4ECD64D5,
PLC01: STANDARD PANEL 2 DAY 1 EXERCISE,R01A,06,R01A:06,1756-N2,,"PN:=""1756-N2"";CW:=""BLANK""",407,,80857BD5-7F0B-F111-A096-005056BE0E49,2,A,IN OFFICE ISSUE,2/16/2026 0:00,AAA,BBB,0,,,AB-56-N2-X-X-X-X-11X17,3EC42E08-85BB-4D52-BA38-019C4ED33836,C9280136-4514-4F89-9297-019C4ED1CF1C,3E06229C-4537-420C-B2FA-019C4ED1CEC3,5088DE78-5449-4330-931F-019C4ECD64DA,55499001-0A74-4983-9858-019C4ECD64D5,
PLC01: STANDARD PANEL 2 DAY 1 EXERCISE,R01A,07,R01A:07,1756-N2,,"PN:=""1756-N2"";CW:=""BLANK""",408,,3DE4EE46-800B-F111-A096-005056BE0E49,1,B,IN OFFICE ISSUE SECOND,2/18/2026 0:00,DDD,EEE,0,,,AB-56-N2-X-X-X-X-11X17,D982F3B0-DE6C-46D7-ADA3-019C4ED47C66,E4E32331-4D1E-49A5-AB9D-019C4ED1CF1C,3E06229C-4537-420C-B2FA-019C4ED1CEC3,5088DE78-5449-4330-931F-019C4ECD64DA,55499001-0A74-4983-9858-019C4ECD64D5,
PLC01: STANDARD PANEL 2 DAY 1 EXERCISE,R01A,07,R01A:07,1756-N2,,"PN:=""1756-N2"";CW:=""BLANK""",408,,81857BD5-7F0B-F111-A096-005056BE0E49,2,A,IN OFFICE ISSUE,2/16/2026 0:00,AAA,BBB,0,,,AB-56-N2-X-X-X-X-11X17,D982F3B0-DE6C-46D7-ADA3-019C4ED47C66,E4E32331-4D1E-49A5-AB9D-019C4ED1CF1C,3E06229C-4537-420C-B2FA-019C4ED1CEC3,5088DE78-5449-4330-931F-019C4ECD64DA,55499001-0A74-4983-9858-019C4ECD64D5,
PLC01: STANDARD PANEL 2 DAY 1 EXERCISE,R01A,08,R01A:08,1756-N2,,"PN:=""1756-N2"";CW:=""BLANK""",409,,3EE4EE46-800B-F111-A096-005056BE0E49,1,B,IN OFFICE ISSUE SECOND,2/18/2026 0:00,DDD,EEE,0,,,AB-56-N2-X-X-X-X-11X17,67BE0E08-8FB7-40E7-BF8A-019C4ED497AD,F4F4690C-61A4-4FA2-BEB0-019C4ED1CF1C,3E06229C-4537-420C-B2FA-019C4ED1CEC3,5088DE78-5449-4330-931F-019C4ECD64DA,55499001-0A74-4983-9858-019C4ECD64D5,
PLC01: STANDARD PANEL 2 DAY 1 EXERCISE,R01A,08,R01A:08,1756-N2,,"PN:=""1756-N2"";CW:=""BLANK""",409,,82857BD5-7F0B-F111-A096-005056BE0E49,2,A,IN OFFICE ISSUE,2/16/2026 0:00,AAA,BBB,0,,,AB-56-N2-X-X-X-X-11X17,67BE0E08-8FB7-40E7-BF8A-019C4ED497AD,F4F4690C-61A4-4FA2-BEB0-019C4ED1CF1C,3E06229C-4537-420C-B2FA-019C4ED1CEC3,5088DE78-5449-4330-931F-019C4ECD64DA,55499001-0A74-4983-9858-019C4ECD64D5,
PLC01: STANDARD PANEL 2 DAY 1 EXERCISE,R01A,09,R01A:09,1756-N2,,"PN:=""1756-N2"";CW:=""BLANK""",410,,3FE4EE46-800B-F111-A096-005056BE0E49,1,B,IN OFFICE ISSUE SECOND,2/18/2026 0:00,DDD,EEE,0,,,AB-56-N2-X-X-X-X-11X17,D550CE1D-7AD7-4233-B8BE-019C4ED4B650,F2EECD4F-CD1A-47BE-83A4-019C4ED1CF1C,3E06229C-4537-420C-B2FA-019C4ED1CEC3,5088DE78-5449-4330-931F-019C4ECD64DA,55499001-0A74-4983-9858-019C4ECD64D5,
PLC01: STANDARD PANEL 2 DAY 1 EXERCISE,R01A,09,R01A:09,1756-N2,,"PN:=""1756-N2"";CW:=""BLANK""",410,,83857BD5-7F0B-F111-A096-005056BE0E49,2,A,IN OFFICE ISSUE,2/16/2026 0:00,AAA,BBB,0,,,AB-56-N2-X-X-X-X-11X17,D550CE1D-7AD7-4233-B8BE-019C4ED4B650,F2EECD4F-CD1A-47BE-83A4-019C4ED1CF1C,3E06229C-4537-420C-B2FA-019C4ED1CEC3,5088DE78-5449-4330-931F-019C4ECD64DA,55499001-0A74-4983-9858-019C4ECD64D5,
PLC01: STANDARD PANEL 2 DAY 1 EXERCISE,R01A,10,R01A:10,1756-N2,,"PN:=""1756-N2"";CW:=""BLANK""",411,,40E4EE46-800B-F111-A096-005056BE0E49,1,B,IN OFFICE ISSUE SECOND,2/18/2026 0:00,DDD,EEE,0,,,AB-56-N2-X-X-X-X-11X17,E42579F0-2BED-43D7-9149-019C4ED4EC55,CC1F197D-D9E8-422C-B197-019C4ED1CF1C,3E06229C-4537-420C-B2FA-019C4ED1CEC3,5088DE78-5449-4330-931F-019C4ECD64DA,55499001-0A74-4983-9858-019C4ECD64D5,
PLC01: STANDARD PANEL 2 DAY 1 EXERCISE,R01A,10,R01A:10,1756-N2,,"PN:=""1756-N2"";CW:=""BLANK""",411,,84857BD5-7F0B-F111-A096-005056BE0E49,2,A,IN OFFICE ISSUE,2/16/2026 0:00,AAA,BBB,0,,,AB-56-N2-X-X-X-X-11X17,E42579F0-2BED-43D7-9149-019C4ED4EC55,CC1F197D-D9E8-422C-B197-019C4ED1CF1C,3E06229C-4537-420C-B2FA-019C4ED1CEC3,5088DE78-5449-4330-931F-019C4ECD64DA,55499001-0A74-4983-9858-019C4ECD64D5,
PLC01: STANDARD PANEL 2 DAY 1 EXERCISE,R01A,11,R01A:11,1756-IB32,,"PN:=""1756-IB32"";CW:=""DCI"";TS:=""Lj;L&Lc|PXC|24V""",412,TB5E,41E4EE46-800B-F111-A096-005056BE0E49,1,B,IN OFFICE ISSUE SECOND,2/18/2026 0:00,DDD,EEE,0,,32,AB-56-IB32-NF-IC-MT-SK-X,7873BD6A-ECE8-4807-AE4F-019C4ED44820,DEE0C656-4DC3-4FE8-B5D0-019C4ED1CF1C,3E06229C-4537-420C-B2FA-019C4ED1CEC3,5088DE78-5449-4330-931F-019C4ECD64DA,55499001-0A74-4983-9858-019C4ECD64D5,
PLC01: STANDARD PANEL 2 DAY 1 EXERCISE,R01A,11,R01A:11,1756-IB32,,"PN:=""1756-IB32"";CW:=""DCI"";TS:=""Lj;L&Lc|PXC|24V""",412,TB5E,85857BD5-7F0B-F111-A096-005056BE0E49,2,A,IN OFFICE ISSUE,2/16/2026 0:00,AAA,BBB,0,,32,AB-56-IB32-NF-IC-MT-SK-X,7873BD6A-ECE8-4807-AE4F-019C4ED44820,DEE0C656-4DC3-4FE8-B5D0-019C4ED1CF1C,3E06229C-4537-420C-B2FA-019C4ED1CEC3,5088DE78-5449-4330-931F-019C4ECD64DA,55499001-0A74-4983-9858-019C4ECD64D5,
PLC01: STANDARD PANEL 2 DAY 1 EXERCISE,R01A,12,R01A:12,1756-OB16E,,"PN:=""1756-OB16E"";CW:=""DCO"";TS:=""Lh&F;Lj|PXC|24V""",413,TB5D,42E4EE46-800B-F111-A096-005056BE0E49,1,B,IN OFFICE ISSUE SECOND,2/18/2026 0:00,DDD,EEE,0,,16,AB-56-OB16E-F-IC-MT-X-X,ED25E335-496C-47D8-923F-019C4ED41F7C,FC75C914-FBE7-43DA-8AF0-019C4ED1CF1C,3E06229C-4537-420C-B2FA-019C4ED1CEC3,5088DE78-5449-4330-931F-019C4ECD64DA,55499001-0A74-4983-9858-019C4ECD64D5,
PLC01: STANDARD PANEL 2 DAY 1 EXERCISE,R01A,12,R01A:12,1756-OB16E,,"PN:=""1756-OB16E"";CW:=""DCO"";TS:=""Lh&F;Lj|PXC|24V""",413,TB5D,86857BD5-7F0B-F111-A096-005056BE0E49,2,A,IN OFFICE ISSUE,2/16/2026 0:00,AAA,BBB,0,,16,AB-56-OB16E-F-IC-MT-X-X,ED25E335-496C-47D8-923F-019C4ED41F7C,FC75C914-FBE7-43DA-8AF0-019C4ED1CF1C,3E06229C-4537-420C-B2FA-019C4ED1CEC3,5088DE78-5449-4330-931F-019C4ECD64DA,55499001-0A74-4983-9858-019C4ECD64D5,
PLC01: STANDARD PANEL 2 DAY 1 EXERCISE,R01A,13,R01A:13,1756-IA16,,"PN:=""1756-IA16"";CW:=""DI"";TS:=""Lj;L&Lc|PXC|120V""",414,TB5C,43E4EE46-800B-F111-A096-005056BE0E49,1,B,IN OFFICE ISSUE SECOND,2/18/2026 0:00,DDD,EEE,0,,16,AB-56-IA16-NF-IC-MT-X-X,9796E86A-E093-4BB2-BE66-019C4ED3EFFA,B3F8B420-E1D3-4104-B293-019C4ED1CF1C,3E06229C-4537-420C-B2FA-019C4ED1CEC3,5088DE78-5449-4330-931F-019C4ECD64DA,55499001-0A74-4983-9858-019C4ECD64D5,
PLC01: STANDARD PANEL 2 DAY 1 EXERCISE,R01A,13,R01A:13,1756-IA16,,"PN:=""1756-IA16"";CW:=""DI"";TS:=""Lj;L&Lc|PXC|120V""",414,TB5C,87857BD5-7F0B-F111-A096-005056BE0E49,2,A,IN OFFICE ISSUE,2/16/2026 0:00,AAA,BBB,0,,16,AB-56-IA16-NF-IC-MT-X-X,9796E86A-E093-4BB2-BE66-019C4ED3EFFA,B3F8B420-E1D3-4104-B293-019C4ED1CF1C,3E06229C-4537-420C-B2FA-019C4ED1CEC3,5088DE78-5449-4330-931F-019C4ECD64DA,55499001-0A74-4983-9858-019C4ECD64D5,
PLC01: STANDARD PANEL 2 DAY 1 EXERCISE,R01A,14,R01A:14,1756-OB16E,,"PN:=""1756-OB16E"";CW:=""DCO"";TS:=""Lh&F;Lj|PXC|24V""",415,TB5B,44E4EE46-800B-F111-A096-005056BE0E49,1,B,IN OFFICE ISSUE SECOND,2/18/2026 0:00,DDD,EEE,0,,16,AB-56-OB16E-F-IC-MT-X-X,F41BDA4C-2583-42CB-848F-019C4ED3BA70,51F5DDCC-B19A-4BFF-AE64-019C4ED1CF1D,3E06229C-4537-420C-B2FA-019C4ED1CEC3,5088DE78-5449-4330-931F-019C4ECD64DA,55499001-0A74-4983-9858-019C4ECD64D5,
PLC01: STANDARD PANEL 2 DAY 1 EXERCISE,R01A,14,R01A:14,1756-OB16E,,"PN:=""1756-OB16E"";CW:=""DCO"";TS:=""Lh&F;Lj|PXC|24V""",415,TB5B,88857BD5-7F0B-F111-A096-005056BE0E49,2,A,IN OFFICE ISSUE,2/16/2026 0:00,AAA,BBB,0,,16,AB-56-OB16E-F-IC-MT-X-X,F41BDA4C-2583-42CB-848F-019C4ED3BA70,51F5DDCC-B19A-4BFF-AE64-019C4ED1CF1D,3E06229C-4537-420C-B2FA-019C4ED1CEC3,5088DE78-5449-4330-931F-019C4ECD64DA,55499001-0A74-4983-9858-019C4ECD64D5,
PLC01: STANDARD PANEL 2 DAY 1 EXERCISE,R01A,15,R01A:15,1756-IA16,,"PN:=""1756-IA16"";CW:=""DI"";TS:=""Lj;L&Lc|PXC|120V""",416,TB5A,45E4EE46-800B-F111-A096-005056BE0E49,1,B,IN OFFICE ISSUE SECOND,2/18/2026 0:00,DDD,EEE,0,,16,AB-56-IA16-NF-IC-MT-X-X,B0798594-98EE-4730-851A-019C4ED38757,609A855F-84FB-4178-8592-019C4ED1CF1D,3E06229C-4537-420C-B2FA-019C4ED1CEC3,5088DE78-5449-4330-931F-019C4ECD64DA,55499001-0A74-4983-9858-019C4ECD64D5,
PLC01: STANDARD PANEL 2 DAY 1 EXERCISE,R01A,15,R01A:15,1756-IA16,,"PN:=""1756-IA16"";CW:=""DI"";TS:=""Lj;L&Lc|PXC|120V""",416,TB5A,89857BD5-7F0B-F111-A096-005056BE0E49,2,A,IN OFFICE ISSUE,2/16/2026 0:00,AAA,BBB,0,,16,AB-56-IA16-NF-IC-MT-X-X,B0798594-98EE-4730-851A-019C4ED38757,609A855F-84FB-4178-8592-019C4ED1CF1D,3E06229C-4537-420C-B2FA-019C4ED1CEC3,5088DE78-5449-4330-931F-019C4ECD64DA,55499001-0A74-4983-9858-019C4ECD64D5,
PLC01: STANDARD PANEL 2 DAY 1 EXERCISE,R01A,16,R01A:16,1756-EN2TR,,,417,,46E4EE46-800B-F111-A096-005056BE0E49,1,B,IN OFFICE ISSUE SECOND,2/18/2026 0:00,DDD,EEE,0,,,AB-56-EN2TR-X-X-X-1COM-X,B7E8A75F-1797-4621-888E-019C4ED35C92,3CAB7CB2-E998-43A8-A324-019C4ED1CF1D,3E06229C-4537-420C-B2FA-019C4ED1CEC3,5088DE78-5449-4330-931F-019C4ECD64DA,55499001-0A74-4983-9858-019C4ECD64D5,
PLC01: STANDARD PANEL 2 DAY 1 EXERCISE,R01A,16,R01A:16,1756-EN2TR,,,417,,8A857BD5-7F0B-F111-A096-005056BE0E49,2,A,IN OFFICE ISSUE,2/16/2026 0:00,AAA,BBB,0,,,AB-56-EN2TR-X-X-X-1COM-X,B7E8A75F-1797-4621-888E-019C4ED35C92,3CAB7CB2-E998-43A8-A324-019C4ED1CF1D,3E06229C-4537-420C-B2FA-019C4ED1CEC3,5088DE78-5449-4330-931F-019C4ECD64DA,55499001-0A74-4983-9858-019C4ECD64D5,
PLC02: STANDARD PANEL 2 DAY 2 EXERCISE,R02A,00,R02A:00,1756-L83EP,,,401,,47E4EE46-800B-F111-A096-005056BE0E49,1,B,IN OFFICE ISSUE SECOND,2/18/2026 0:00,DDD,EEE,0,,,AB-56-L83EP-X-X-X-X-X,EF8828BC-C871-4712-BD08-019C4ED9E9B2,64BC7B12-E2BE-4EA1-A22A-019C4ED20813,1EB3DE78-1AE0-40AA-8722-019C4ED207C3,5088DE78-5449-4330-931F-019C4ECD64DA,55499001-0A74-4983-9858-019C4ECD64D5,
PLC02: STANDARD PANEL 2 DAY 2 EXERCISE,R02A,00,R02A:00,1756-L83EP,,,401,,8B857BD5-7F0B-F111-A096-005056BE0E49,2,A,IN OFFICE ISSUE,2/16/2026 0:00,AAA,BBB,0,,,AB-56-L83EP-X-X-X-X-X,EF8828BC-C871-4712-BD08-019C4ED9E9B2,64BC7B12-E2BE-4EA1-A22A-019C4ED20813,1EB3DE78-1AE0-40AA-8722-019C4ED207C3,5088DE78-5449-4330-931F-019C4ECD64DA,55499001-0A74-4983-9858-019C4ECD64D5,
PLC02: STANDARD PANEL 2 DAY 2 EXERCISE,R02A,01,R02A:01,1756-IF16H,,"PN:=""1756-IF16H"";CW:=""AI-C-LP"";TS:=""Fj;L&G2|PXC|24V""",402,TB1A,349FE15F-840B-F111-A096-005056BE0E49,1,0,ORIGINAL ISSUE,2/19/2026 0:00,DDD,EEE,0,,16,AB-56-IF16H-F-IC-MTG-SEC-X,CD54F2D5-BA6B-45B2-8243-019C4EDA1D75,9794A06B-C886-4173-A23B-019C4ED20813,1EB3DE78-1AE0-40AA-8722-019C4ED207C3,5088DE78-5449-4330-931F-019C4ECD64DA,55499001-0A74-4983-9858-019C4ECD64D5,
PLC02: STANDARD PANEL 2 DAY 2 EXERCISE,R02A,01,R02A:01,1756-IF16H,,"PN:=""1756-IF16H"";CW:=""AI-C-LP"";TS:=""Fj;L&G2|PXC|24V""",402,TB1A,48E4EE46-800B-F111-A096-005056BE0E49,,B,IN OFFICE ISSUE SECOND,2/18/2026 0:00,DDD,EEE,1,,16,AB-56-IF16H-F-IC-MTG-SEC-X,CD54F2D5-BA6B-45B2-8243-019C4EDA1D75,9794A06B-C886-4173-A23B-019C4ED20813,1EB3DE78-1AE0-40AA-8722-019C4ED207C3,5088DE78-5449-4330-931F-019C4ECD64DA,55499001-0A74-4983-9858-019C4ECD64D5,
PLC02: STANDARD PANEL 2 DAY 2 EXERCISE,R02A,01,R02A:01,1756-IF16H,,"PN:=""1756-IF16H"";CW:=""AI-C-LP"";TS:=""Fj;L&G2|PXC|24V""",402,TB1A,8C857BD5-7F0B-F111-A096-005056BE0E49,,A,IN OFFICE ISSUE,2/16/2026 0:00,AAA,BBB,1,,16,AB-56-IF16H-F-IC-MTG-SEC-X,CD54F2D5-BA6B-45B2-8243-019C4EDA1D75,9794A06B-C886-4173-A23B-019C4ED20813,1EB3DE78-1AE0-40AA-8722-019C4ED207C3,5088DE78-5449-4330-931F-019C4ECD64DA,55499001-0A74-4983-9858-019C4ECD64D5,
PLC02: STANDARD PANEL 2 DAY 2 EXERCISE,R02A,02,R02A:02,1756-N2,,"PN:=""1756-N2"";CW:=""BLANK""",403,,359FE15F-840B-F111-A096-005056BE0E49,1,0,ORIGINAL ISSUE,2/19/2026 0:00,DDD,EEE,0,,,AB-56-N2-X-X-X-X-11X17,4DFCA2F6-FA0D-40CD-B642-019C4EDA5696,7EFA5D2B-D771-46F4-9A82-019C4ED20813,1EB3DE78-1AE0-40AA-8722-019C4ED207C3,5088DE78-5449-4330-931F-019C4ECD64DA,55499001-0A74-4983-9858-019C4ECD64D5,
PLC02: STANDARD PANEL 2 DAY 2 EXERCISE,R02A,02,R02A:02,1756-N2,,"PN:=""1756-N2"";CW:=""BLANK""",403,,49E4EE46-800B-F111-A096-005056BE0E49,,B,IN OFFICE ISSUE SECOND,2/18/2026 0:00,DDD,EEE,1,,,AB-56-N2-X-X-X-X-11X17,4DFCA2F6-FA0D-40CD-B642-019C4EDA5696,7EFA5D2B-D771-46F4-9A82-019C4ED20813,1EB3DE78-1AE0-40AA-8722-019C4ED207C3,5088DE78-5449-4330-931F-019C4ECD64DA,55499001-0A74-4983-9858-019C4ECD64D5,
PLC02: STANDARD PANEL 2 DAY 2 EXERCISE,R02A,02,R02A:02,1756-N2,,"PN:=""1756-N2"";CW:=""BLANK""",403,,8D857BD5-7F0B-F111-A096-005056BE0E49,,A,IN OFFICE ISSUE,2/16/2026 0:00,AAA,BBB,1,,,AB-56-N2-X-X-X-X-11X17,4DFCA2F6-FA0D-40CD-B642-019C4EDA5696,7EFA5D2B-D771-46F4-9A82-019C4ED20813,1EB3DE78-1AE0-40AA-8722-019C4ED207C3,5088DE78-5449-4330-931F-019C4ECD64DA,55499001-0A74-4983-9858-019C4ECD64D5,
